MJD,FLT,FLUXCAL,FLUXCALERR,PHOTFLAG,PHOTPROB,ZPFLUX,PSF,SKYSIG,SKYSIG_T,GAIN,XPIX,YPIX,EXPNUM,CCDNUM,SNID,ACTION,COMMENT,TIME,USER,OBJID_COPY,BATCH
58380.356,i,85.48299999999998,11.13,4096,0.515,31.71,2.3280000000000003,57.9,31.0,0.98,432.54,1703.65,775556,33,5497530,Good,,04/10/20 11:53:45,ramorgan2,267163383.0,1
58466.08,i,46.002,8.4922,12288,0.713,31.702,1.727,61.7,25.4,1.01,136.01,3434.57,802866,54,5780211,Good,,04/11/20 17:40:08,ramorgan2,285433281.0,1
58451.083,r,66.608,4.7081,4608,0.4970000000000001,31.763,1.383,34.5,16.6,1.0,794.47,3942.96,797439,20,5762368,Good,,04/10/20 11:53:13,ramorgan2,284687466.0,2
58419.227,i,277.23,12.515,12288,0.97,31.678,1.933,72.8,45.9,1.02,1136.93,393.88,788168,15,5618388,Good,,04/11/20 17:38:34,ramorgan2,270958918.0,3
58466.03599999999,i,34.855,5.356,4096,0.28300000000000003,33.244,1.784,142.7,102.2,1.02,643.01,1381.29,802852,52,5893070,Good,,04/11/20 17:39:47,ramorgan2,285382992.0,3
58468.04,z,38.307,10.637,4096,0.212,32.907,2.02,175.6,154.2,0.94,1618.15,3977.35,803526,11,5789744,Good,,04/11/20 17:38:26,ramorgan2,285847895.0,3
58409.277,i,39.718,9.5403,4096,0.428,31.747,2.232,51.8,25.4,0.95,1913.67,845.89,784676,39,5517592,Good,,04/11/20 17:34:18,ramorgan2,269093804.0,3
58464.179,r,37.905,5.3319,4608,0.353,31.783,2.049,30.2,14.1,0.96,299.09,2404.29,802256,30,5751884,Good,,04/11/20 17:44:42,ramorgan2,284240155.0,4
58451.326,r,93.016,5.2673,12288,0.8,31.755,1.452,43.8,13.9,1.06,1228.94,1689.16,797606,42,5645197,Good,,04/11/20 17:43:16,ramorgan2,278048604.0,4
58451.045999999995,g,51.595,3.5523,12288,0.963,31.61,1.875,19.3,10.4,1.06,863.93,641.64,797413,19,5625221,Good,,04/11/20 20:14:45,ramorgan2,276677878.0,5
58429.038,r,179.17,6.4504,12288,0.97,31.759,2.133,36.8,18.2,1.04,1590.75,3281.26,791580,41,5566724,Good,,04/11/20 20:26:28,ramorgan2,271623098.0,6
58392.31,z,69.235,17.332,4096,0.48200000000000004,31.474,1.831,84.9,44.8,0.94,1469.04,1176.76,779639,39,5544049,Good,,04/13/20 13:12:01,ramorgan2,268206105.0,8
58428.10400000001,r,53.717,5.4664,12288,0.725,31.741,1.908,34.1,13.2,0.96,1622.8,2307.77,791223,48,5826488,Good,,04/11/20 21:04:31,ramorgan2,287094556.0,8
58454.278,g,74.752,4.4054,12288,0.89,31.593000000000004,2.082,20.4,9.5,0.96,32.29,2952.87,798709,32,5724141,Good,,04/13/20 13:19:55,ramorgan2,282951436.0,9
58463.124,i,61.36,8.4474,4096,0.44799999999999995,31.701,1.9580000000000002,49.4,22.8,0.96,327.78,1068.6,801886,24,5741632,Good,,04/13/20 13:21:28,ramorgan2,283735478.0,9
58466.03599999999,i,27.487,5.4277,4096,0.355,33.244,1.784,142.7,102.2,1.02,1130.77,2195.94,802852,52,5765088,Good,,04/13/20 16:41:53,ramorgan2,285383065.0,10
58371.222,g,37.745,4.58,12288,0.81,31.527,2.1590000000000003,21.0,12.4,0.92,207.59,1047.55,771508,16,5458042,Good,,04/13/20 16:40:36,ramorgan2,263699438.0,10
58454.12,r,183.18,4.7344,12800,0.98,31.764,1.862,29.2,17.2,1.04,1485.48,3496.08,798602,6,5739271,Good,,04/13/20 16:48:45,ramorgan2,283607560.0,11
58460.03599999999,z,119.86,23.653,4096,0.452,31.398000000000003,2.804,73.4,35.8,0.92,68.21,2297.09,800702,13,5705442,Good,,04/13/20 16:48:13,ramorgan2,282022485.0,11
58448.333,z,131.49,14.429,4096,0.645,31.387,1.36,98.8,36.3,0.95,1893.11,364.73,796484,16,5623279,Good,,04/13/20 22:03:44,ramorgan2,275665042.0,13
58466.151,i,64.44800000000001,8.4649,12288,0.715,31.730999999999998,1.7630000000000001,60.6,20.2,0.93,898.71,790.15,802914,13,5803293,Good,,04/14/20 12:12:49,ramorgan2,285529292.0,14
58430.252,r,674.32,9.5677,12288,0.98,31.744,2.576,37.1,13.4,0.96,51.36,3439.5,792114,30,5841719,Good,,04/14/20 12:14:25,ramorgan2,287621019.0,14
58460.138,z,237.14,23.003,12288,0.943,31.287,2.123,85.0,42.4,0.95,1196.93,3131.79,800784,46,5712893,Good,,04/14/20 12:09:58,ramorgan2,282348452.0,14
58455.075999999994,g,41.571999999999996,3.7083,12288,0.81,31.636999999999997,1.568,20.4,9.6,0.92,2012.71,3598.75,798951,16,5618682,Good,,04/14/20 12:04:56,ramorgan2,282452452.0,14
58448.115999999995,i,1481.2,9.8815,12288,0.96,31.7,1.4269999999999998,62.8,23.9,1.02,778.16,473.78,796336,47,5640987,Good,,04/15/20 13:11:59,ramorgan2,274679590.0,15
