MJD,FLT,FLUXCAL,FLUXCALERR,PHOTFLAG,PHOTPROB,ZPFLUX,PSF,SKYSIG,SKYSIG_T,GAIN,XPIX,YPIX,EXPNUM,CCDNUM,SNID,ACTION,COMMENT,TIME,USER,OBJID_COPY,BATCH
58429.302,r,46.707,5.7513,4096,0.653,31.761,1.895,37.9,14.2,1.0,240.84,853.78,791753,20,5564658,PsfInTemplate,,04/10/20 11:52:53,ramorgan2,271926791.0,1
58459.273,r,95.741,7.7011,12288,0.89,31.763,2.815,29.4,15.2,0.98,783.3,2763.42,800477,57,5712322,PsfInTemplate,,04/11/20 17:29:51,ramorgan2,282315278.0,1
58462.128,g,80.28399999999998,6.2436,12288,0.9,31.63300000000001,2.5180000000000002,21.0,12.2,0.94,1759.25,3718.39,801491,55,5754889,PsfInTemplate,,04/10/20 11:53:03,ramorgan2,284451856.0,1
58437.3,r,34.644,4.9142,4096,0.365,31.738000000000003,1.746,34.6,16.8,0.98,1548.87,1026.17,794196,62,5755265,PsfInTemplate,,04/11/20 17:28:47,ramorgan2,284378709.0,1
58437.3,r,48.573,5.0215,4096,0.685,31.738000000000003,1.746,34.6,16.8,0.98,128.58,1559.6,794196,62,5755270,PsfInTemplate,,04/10/20 11:53:39,ramorgan2,284378737.0,1
58452.27400000001,r,110.85,5.8569,12288,0.925,31.746,1.787,39.5,13.7,0.97,982.03,1685.7,797951,24,5635554,PsfInTemplate,,04/11/20 17:27:10,ramorgan2,277371009.0,1
58431.308,r,149.71,8.0249,12288,0.94,31.741,2.369,36.3,16.8,0.98,1163.33,2749.05,792543,40,5570518,PsfInTemplate,,04/11/20 20:11:58,ramorgan2,272662701.0,1
58456.199,g,83.875,6.1697,12288,0.833,31.66800000000001,2.891,18.4,10.4,1.04,1814.71,2959.47,799352,49,5680190,PsfInTemplate,,04/11/20 17:26:35,ramorgan2,280829139.0,1
58455.148,r,58.778,4.9723,12288,0.943,31.755,2.104,29.9,12.6,0.94,946.39,3051.94,798997,39,5673738,PsfInTemplate,,04/11/20 17:26:48,ramorgan2,280436135.0,1
58452.201,r,106.62,4.0641,12288,0.73,31.751,1.37,31.5,16.8,0.98,1207.82,988.18,797900,14,5641542,PsfInTemplate,,04/11/20 17:28:50,ramorgan2,277802408.0,1
58376.371,g,79.892,6.4832,12288,0.95,31.63300000000001,3.157,19.7,10.2,0.95,1455.95,2049.99,773838,23,5467813,PsfInTemplate,,04/11/20 17:31:18,ramorgan2,265638375.0,1
58448.06200000001,g,62.46100000000001,3.4962,12288,0.888,31.626,1.645,20.5,10.0,1.03,1895.87,3460.13,796301,52,5734928,PsfInTemplate,,04/11/20 17:26:56,ramorgan2,283427431.0,2
58448.162000000004,i,65.791,6.6707,12288,0.72,31.733,1.4340000000000002,62.5,27.1,0.98,1979.63,674.17,796366,57,5660846,PsfInTemplate,,04/10/20 11:54:14,ramorgan2,274635062.0,2
58431.081,g,90.217,5.1593,12288,0.89,31.596,2.372,21.5,8.3,1.0,1303.29,3890.09,792398,14,5824504,PsfInTemplate,,04/11/20 17:26:21,ramorgan2,272246134.0,2
58375.221,r,157.27,7.2899,12288,0.95,31.739,2.809,30.5,16.3,1.06,1193.96,2556.93,773318,22,5920666,PsfInTemplate,,04/11/20 17:28:04,ramorgan2,264974729.0,2
58455.148,r,46.38399999999999,5.117,4096,0.688,31.755,2.104,29.9,12.6,0.94,81.43,2920.91,798997,39,5673737,PsfInTemplate,,04/11/20 17:32:10,ramorgan2,280436133.0,2
58452.175,g,38.455,3.6181,12288,0.8059999999999999,31.594,1.666,21.9,11.1,1.0,662.45,1390.15,797881,14,5682903,PsfInTemplate,,04/11/20 17:40:29,ramorgan2,278352335.0,2
58430.292,i,67.008,10.754,4096,0.535,31.712,2.117,60.6,26.0,0.92,1990.38,2732.55,792140,58,5843789,PsfInTemplate,,04/11/20 17:35:37,ramorgan2,287284768.0,3
58409.348,i,145.78,9.128,12288,0.93,31.705,2.082,50.0,27.7,1.05,593.24,2534.84,784725,22,5524217,PsfInTemplate,,04/11/20 17:37:47,ramorgan2,269247043.0,3
58453.097,g,66.446,3.9171,12288,0.94,31.631999999999998,2.064,19.3,11.3,1.04,1947.32,1704.27,798208,22,5579105,PsfInTemplate,,04/11/20 20:14:52,ramorgan2,278726031.0,3
58371.378,r,40.333,6.1402,4096,0.36,31.771,2.004,35.6,16.4,0.98,31.11,814.77,771610,9,5920177,PsfInTemplate,,04/11/20 20:11:45,ramorgan2,295572401.0,3
58452.27400000001,r,32.55,5.4923,4096,0.39,31.746,1.787,39.5,13.7,0.97,1095.39,1025.41,797951,24,5670535,PsfInTemplate,,04/11/20 20:10:52,ramorgan2,277370997.0,4
58452.27400000001,r,88.26299999999998,5.8406,12288,0.91,31.746,1.787,39.5,13.7,0.97,795.46,1889.63,797951,24,5635555,PsfInTemplate,,04/11/20 17:45:06,ramorgan2,277371010.0,10
58409.345,i,112.47,10.919,12288,0.87,31.714,2.334,55.6,25.9,0.94,132.74,2247.75,784723,18,5524171,PsfInTemplate,,04/11/20 17:42:19,ramorgan2,269244107.0,4
58431.297,r,192.24,7.1671,12288,0.95,31.775,2.397,34.8,16.2,0.91,1610.26,2472.15,792535,5,5568816,PsfInTemplate,,04/11/20 17:42:31,ramorgan2,272617289.0,4
58429.27,r,128.94,7.255,12288,0.88,31.766,2.186,37.5,17.0,0.99,594.66,1444.99,791730,51,5918933,PsfInTemplate,,04/11/20 17:41:43,ramorgan2,292594519.0,4
58448.148,i,42.484,6.56,4096,0.293,31.724,1.34,61.0,27.1,1.02,497.66,2573.63,796356,15,5674158,PsfInTemplate,,04/11/20 17:41:17,ramorgan2,275031514.0,4
58437.3,r,90.34299999999999,4.8946,12288,0.737,31.738000000000003,1.746,34.6,16.8,0.98,130.09,175.59,794196,62,5755248,PsfInTemplate,,04/11/20 20:23:26,ramorgan2,284378630.0,5
58454.297,g,34.814,4.4202,4096,0.312,31.597,2.016,23.0,9.3,1.04,782.89,1775.05,798723,26,5664053,PsfInTemplate,,04/11/20 21:00:37,ramorgan2,279672348.0,5
58454.297,g,42.948,4.4834,4096,0.645,31.596999999999998,2.016,23.0,9.3,1.04,1582.48,2938.58,798723,26,5664134,PsfInTemplate,,04/11/20 20:15:45,ramorgan2,279672411.0,5
58483.059,r,34.688,6.057,4096,0.4,31.732,2.0709999999999997,31.9,20.7,1.0,1627.76,2001.28,807611,8,5876131,PsfInTemplate,,04/11/20 20:14:01,ramorgan2,289561701.0,5
58428.10400000001,r,40.259,5.3779,4096,0.677,31.741,1.9080000000000001,34.1,13.2,0.96,787.4,2781.54,791223,48,5826489,PsfInTemplate,,04/11/20 20:22:19,ramorgan2,287094577.0,5
58376.235,i,67.15899999999999,13.215,4096,0.5329999999999999,31.711,2.605,59.5,27.5,1.05,860.21,2582.54,773750,42,5814000,PsfInTemplate,,04/11/20 20:16:53,ramorgan2,286619522.0,5
58409.277,i,96.107,9.8521,12288,0.74,31.747,2.232,51.8,25.4,0.95,1155.9,402.74,784676,39,5517588,PsfInTemplate,,04/13/20 16:39:02,ramorgan2,269093792.0,5
58429.038,r,71.52199999999998,6.4063,12288,0.843,31.759,2.133,36.8,18.2,1.04,1254.31,1579.32,791580,41,5566719,PsfInTemplate,,04/11/20 20:21:50,ramorgan2,271623081.0,5
58371.254,g,47.567,6.4537,4096,0.65,31.651999999999997,2.167,33.3,13.9,0.91,1510.23,1353.13,771529,45,5459851,PsfInTemplate,,04/11/20 20:15:08,ramorgan2,264007086.0,5
58460.336,r,35.879,6.0161,4096,0.647,31.645,2.016,33.1,13.8,0.99,845.56,297.71,800910,25,5735997,PsfInTemplate,,04/11/20 20:56:55,ramorgan2,283476997.0,6
58371.222,g,88.751,5.1947,12288,0.91,31.526999999999997,2.1590000000000003,21.0,12.4,0.92,1111.66,1820.03,771508,16,5458044,PsfInTemplate,,04/11/20 20:26:17,ramorgan2,263699462.0,5
58462.10400000001,r,32.234,5.6404,4096,0.467,31.756,2.356,30.0,16.5,0.99,945.69,1190.06,801474,51,5736201,PsfInTemplate,,04/13/20 13:11:29,ramorgan2,283484294.0,5
58409.345,i,763.23,20.314,4096,0.667,31.714000000000002,2.334,55.6,25.9,0.94,477.95,3932.42,784723,18,5524174,PsfInTemplate,,04/11/20 20:25:17,ramorgan2,269244121.0,6
58431.297,r,57.59,6.7724,12288,0.88,31.775,2.397,34.8,16.2,0.91,1456.51,2193.12,792535,5,5569673,PsfInTemplate,,04/11/20 21:01:56,ramorgan2,272617269.0,6
58459.297999999995,g,2786.7,21.81,12288,0.98,31.618000000000002,2.7289999999999996,21.8,10.4,0.92,1541.75,1390.17,800494,16,5836288,PsfInTemplate,,04/11/20 20:26:37,ramorgan2,281805793.0,5
58375.207,r,148.74,6.0967,12288,0.94,31.752,2.023,28.6,13.9,1.04,701.04,1350.96,773309,53,5469538,PsfInTemplate,,04/11/20 20:58:29,ramorgan2,264930933.0,7
58437.103,i,54.515,8.891,4096,0.447,31.69400000000001,1.656,67.2,23.0,1.05,1927.18,1199.42,794057,35,5642027,PsfInTemplate,,04/11/20 21:00:24,ramorgan2,273052319.0,7
58429.13400000001,g,1483.4,11.98,12288,0.97,31.577,2.682,22.7,10.1,1.04,1308.57,1716.01,791641,41,5826826,PsfInTemplate,,04/11/20 20:58:19,ramorgan2,271789883.0,7
58437.263,r,43.047,6.4734,4096,0.645,31.749,2.174,37.1,14.4,0.98,891.45,3843.41,794169,16,5606375,PsfInTemplate,,04/13/20 22:00:04,ramorgan2,275194199.0,7
58431.273,g,109.84,4.5696,12288,0.94,31.657,2.306,18.8,9.7,1.04,445.24,3223.58,792518,41,5572957,PsfInTemplate,,04/13/20 22:00:15,ramorgan2,272743820.0,7
58413.363,z,106.39,21.357,4096,0.387,31.451999999999998,1.865,115.5,47.7,0.97,1060.39,111.51,786304,41,5534284,PsfInTemplate,,04/13/20 13:17:34,ramorgan2,270269855.0,7
58429.309,r,52.195,6.421,12288,0.85,31.744,1.858,40.1,23.1,1.0,1382.45,1070.41,791758,47,5912916,PsfInTemplate,,04/11/20 21:01:24,ramorgan2,292565926.0,7
58371.378,r,31.206,5.6759,4096,0.403,31.771,2.004,35.6,16.4,0.98,123.25,1732.33,771610,9,5920178,PsfInTemplate,,04/11/20 20:58:32,ramorgan2,295572433.0,7
58462.128,g,91.464,5.1896,12288,0.9,31.63300000000001,2.518,21.0,12.2,0.94,1630.8,816.43,801491,55,5754863,PsfInTemplate,,04/11/20 20:58:26,ramorgan2,284451801.0,7
